n_cascades fluence V_MP I_MP d111 d100 IClus VClus
1.8145580000000001 1376851424686.4724 0 0 0 0 0 0 0
3.078220000000001 2335693646881.7163 0 0 0 0 0 0 0
4.5949599999999995 3486566548094.5513 2 2 0 0 0 0 0
6.27348 4760194976265.345 7 7 0 0 0 0 0
8.118740000000003 6160342483215.775 9 9 0 0 0 0 0
10.771340000000002 8173083927205.626 11 11 0 0 0 0 0
13.060240000000002 9909856863625.883 11 11 0 0 0 0 0
16.555680000000002 12562128956282.102 15 15 0 0 0 0 0
18.16804 13785556459347.574 24 24 0 0 0 0 0
21.085800000000006 15999496169675.492 25 25 0 0 0 0 0
23.228 17624955990724.67 26 26 0 0 0 0 0
42.8252 32494931345530.49 50 52 0 0 0 2 0
60.186400000000006 45668273258143.25 68 70 0 0 0 2 0
81.96159999999999 62190872779807.95 83 85 0 0 0 2 0
103.2396 78336206582573.56 104 104 0 0 0 2 2
120.24740000000001 91241395427891.6 129 140 6 0 0 25 8
142.08620000000002 107812253396302.05 144 151 6 0 0 25 12
160.06920000000002 121457405091721.45 147 152 7 0 0 24 12
182.44140000000004 138432996637084.39 160 167 7 0 0 26 12
200.11200000000005 151841105270186.66 170 177 7 0 0 26 12
220.16800000000003 167059209168497.9 177 187 7 0 0 32 15
404.96000000000004 307275795505590.8 239 277 31 0 0 99 30
601.2420000000002 456210771042504.06 273 289 59 0 0 106 31
802.98 609285653583265.8 295 312 92 0 0 142 33
1000.552 759199456106059.6 287 303 138 0 0 203 49
1200.6820000000002 911054219427212.0 267 297 228 0 0 301 43
1402.7740000000001 1064397710303634.0 285 289 316 0 0 371 51
1600.6380000000001 1214533076764317.2 242 265 338 0 0 405 44
1800.0140000000004 1365815719506125.5 282 273 428 0 0 476 57
2000.9400000000003 1518274472192208.8 255 273 518 0 0 577 41
2200.1200000000003 1669408393934612.0 250 242 552 0 0 595 51
20000.200000000004 15175763940317358.0 207 198 1113 0 0 1123 19
40000.40000000001 30351527880634716.0 191 187 1160 0 0 1182 26
60003.0 45529112894414180.0 224 207 1406 0 0 1415 26
80000.20000000001 60702600492903900.0 218 162 985 13 0 980 38
100001.80000000002 75879426726074160.0 182 223 1167 0 0 1236 28
